Compartment,MP_form,Size_Bin,k_discorporation,k_fragmentation,k_heteroaggregation,k_heteroaggregate_breackup,k_biofouling,k_defouling,k_advective_transport,k_settling,k_rising,k_mixing,k_sea_spray_aerosol,k_beaching,k_sediment_resuspension,k_burial,k_runoff_transport,k_percolation,k_soil_air_resuspension,k_soil_convection,k_sequestration_deep_soils,k_wind_trasport,k_dry_deposition,k_wet_deposition
Ocean_Surface_Water,freeMP,mp1,1.2155358806115764e-14,"[0.0, 0.0, 0.0, 0.0, 0.0]",2.246885287461167e-08,0.0,1.1574074074074074e-06,0.0,4.116564417177914e-08,0.0,0.0,0.00276,5.555555555555555e-09,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,freeMP,mp2,1.2155358806115762e-12,"[1.5854895991882293e-09, 0.0, 0.0, 0.0, 0.0]",5.936118670599402e-08,0.0,1.1574074074074074e-06,0.0,4.116564417177914e-08,0.0,0.0,0.00276,5.555555555555555e-09,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,freeMP,mp3,1.2155358806115764e-10,"[7.927447995941148e-09, 7.927447995941148e-09, 0.0, 0.0, 0.0]",8.09320649027192e-06,0.0,1.1574074074074074e-06,0.0,4.116564417177914e-08,0.0,0.0,0.00276,5.555555555555555e-09,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,freeMP,mp4,1.2155358806115764e-08,"[9.512937595129376e-08, 3.170979198376459e-08, 3.170979198376459e-08, 0.0, 0.0]",0.0477936659835263,0.0,1.1574074074074074e-06,0.0,4.116564417177914e-08,0.0,0.0,0.00276,5.555555555555555e-09,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,freeMP,mp5,1.2155358806115764e-06,"[1.1098427194317607e-06, 2.3782343987823441e-07, 1.5854895991882297e-07, 7.927447995941155e-08, 0.0]",458.08179228950456,0.0,1.1574074074074074e-06,0.0,4.116564417177914e-08,0.0,0.0,0.00276,5.555555555555555e-09,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterMP,mp1,1.2155358806115764e-15,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,1.8736386066974934e-17,1.1574074074074074e-06,0.0,4.116564417177914e-08,2.1259645745500595e-06,0.0,0.00276,5.555555555555555e-09,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterMP,mp2,1.2155358806115763e-13,"[2.528451797958585e-11, 0.0, 0.0, 0.0, 0.0]",0.0,3.0520327648159686e-17,1.1574074074074074e-06,0.0,4.116564417177914e-08,1.853954034723946e-06,0.0,0.00276,5.555555555555555e-09,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterMP,mp3,1.2155358806115764e-11,"[7.935514617141138e-11, 7.935514617141138e-11, 0.0, 0.0, 0.0]",0.0,7.959311909769156e-15,1.1574074074074074e-06,0.0,4.116564417177914e-08,0.0,0.0,0.00276,5.555555555555555e-09,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterMP,mp4,1.2155358806115764e-09,"[9.512947284918178e-10, 3.1709824283060594e-10, 3.1709824283060594e-10, 0.0, 0.0]",0.0,4.779259182418434e-11,1.1574074074074074e-06,0.0,4.116564417177914e-08,0.0,0.0,0.00276,5.555555555555555e-09,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterMP,mp5,1.2155358806115762e-07,"[1.1098427205622375e-08, 2.378234401204795e-09, 1.5854896008031967e-09, 7.92744800401599e-10, 0.0]",0.0,4.5808178181248177e-07,1.1574074074074074e-06,0.0,4.116564417177914e-08,0.0,0.0,0.00276,5.555555555555555e-09,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,biofMP,mp1,2.4310717612231528e-14,"[0.0, 0.0, 0.0, 0.0, 0.0]",6.065374591193721e-08,0.0,0.0,0.0,4.116564417177914e-08,2.42870037973093e-06,0.0,0.00276,5.555555555555555e-09,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,biofMP,mp2,2.4310717612231525e-12,"[1.943122678398596e-09, 0.0, 0.0, 0.0, 0.0]",4.6435631010357335e-07,0.0,0.0,0.0,4.116564417177914e-08,5.601988601169314e-06,0.0,0.00276,5.555555555555555e-09,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,biofMP,mp3,2.4310717612231527e-10,"[4.538912937372815e-09, 4.538912937372815e-09, 0.0, 0.0, 0.0]",3.953952451720626e-05,0.0,0.0,0.0,4.116564417177914e-08,3.296738218566838e-05,0.0,0.00276,5.555555555555555e-09,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,biofMP,mp4,2.4310717612231527e-08,"[4.825491470292958e-08, 1.608497156764319e-08, 1.608497156764319e-08, 0.0, 0.0]",0.06405814064283756,0.0,0.0,0.0,4.116564417177914e-08,0.0,0.0,0.00276,5.555555555555555e-09,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,biofMP,mp5,2.431071761223153e-06,"[5.557266242310434e-07, 1.1908427662093789e-07, 7.938951774729193e-08, 3.9694758873645996e-08, 0.0]",886.221035906939,0.0,0.0,0.0,4.116564417177914e-08,0.0,0.0,0.00276,5.555555555555555e-09,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterBiofMP,mp1,2.431071761223153e-15,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,1.7504648317849157e-16,0.0,0.0,4.116564417177914e-08,3.6192784926324813e-06,0.0,0.00276,5.555555555555555e-09,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterBiofMP,mp2,2.4310717612231526e-13,"[2.069169623927708e-11, 0.0, 0.0, 0.0, 0.0]",0.0,6.049506537160827e-16,0.0,0.0,4.116564417177914e-08,6.4428660293348195e-06,0.0,0.00276,5.555555555555555e-09,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterBiofMP,mp3,2.4310717612231528e-11,"[4.5419898293366534e-11, 4.5419898293366534e-11, 0.0, 0.0, 0.0]",0.0,3.988016141817296e-14,0.0,0.0,4.116564417177914e-08,3.3214317727306166e-05,0.0,0.00276,5.555555555555555e-09,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterBiofMP,mp4,2.4310717612231527e-09,"[4.825496177578399e-10, 1.6084987258594664e-10, 1.6084987258594664e-10, 0.0, 0.0]",0.0,6.40559268044956e-11,0.0,0.0,4.116564417177914e-08,0.0,0.0,0.00276,5.555555555555555e-09,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterBiofMP,mp5,2.4310717612231525e-07,"[5.55726624794645e-09, 1.1908427674170964e-09, 7.938951782780643e-10, 3.969475891390325e-10, 0.0]",0.0,8.862210148869099e-07,0.0,0.0,4.116564417177914e-08,0.0,0.0,0.00276,5.555555555555555e-09,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,freeMP,mp1,1.2155358806115764e-15,"[0.0, 0.0, 0.0, 0.0, 0.0]",2.246885287461167e-08,0.0,3.858024691358025e-07,0.0,1.371165644171779e-08,0.0,6.446896763621471e-11,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,freeMP,mp2,1.2155358806115763e-13,"[1.5854895991882296e-10, 0.0, 0.0, 0.0, 0.0]",5.936118670599402e-08,0.0,3.858024691358025e-07,0.0,1.371165644171779e-08,0.0,6.4468967636214734e-09,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,freeMP,mp3,1.2155358806115764e-11,"[7.927447995941146e-10, 7.927447995941146e-10, 0.0, 0.0, 0.0]",8.09320649027192e-06,0.0,3.858024691358025e-07,0.0,1.371165644171779e-08,0.0,6.446896763621472e-07,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,freeMP,mp4,1.2155358806115764e-09,"[9.512937595129376e-09, 3.1709791983764586e-09, 3.1709791983764586e-09, 0.0, 0.0]",0.0477936659835263,0.0,3.858024691358025e-07,0.0,1.371165644171779e-08,0.0,6.446896763621472e-05,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,freeMP,mp5,1.2155358806115762e-07,"[1.1098427194317603e-07, 2.3782343987823436e-08, 1.5854895991882293e-08, 7.927447995941153e-09, 0.0]",458.08179228950456,0.0,3.858024691358025e-07,0.0,1.371165644171779e-08,0.0,0.006446896763621472,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,heterMP,mp1,1.2155358806115763e-16,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,1.8736386066974934e-17,3.858024691358025e-07,0.0,1.371165644171779e-08,1.0629822872750296e-07,0.0,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,heterMP,mp2,1.2155358806115764e-14,"[2.528451797958585e-12, 0.0, 0.0, 0.0, 0.0]",0.0,3.0520327648159686e-17,3.858024691358025e-07,0.0,1.371165644171779e-08,9.26977017361973e-08,0.0,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,heterMP,mp3,1.2155358806115762e-12,"[7.935514617141138e-12, 7.935514617141138e-12, 0.0, 0.0, 0.0]",0.0,7.959311909769156e-15,3.858024691358025e-07,0.0,1.371165644171779e-08,0.0,6.286224075389044e-07,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,heterMP,mp4,1.2155358806115764e-10,"[9.512947284918179e-11, 3.170982428306059e-11, 3.170982428306059e-11, 0.0, 0.0]",0.0,4.779259182418434e-11,3.858024691358025e-07,0.0,1.371165644171779e-08,0.0,6.446735920932815e-05,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,heterMP,mp5,1.2155358806115764e-08,"[1.1098427205622372e-09, 2.378234401204794e-10, 1.5854896008031963e-10, 7.927448004015988e-11, 0.0]",0.0,4.5808178181248177e-07,3.858024691358025e-07,0.0,1.371165644171779e-08,0.0,0.006446896602778619,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,biofMP,mp1,2.431071761223153e-15,"[0.0, 0.0, 0.0, 0.0, 0.0]",6.065374591193721e-08,0.0,0.0,0.0,1.371165644171779e-08,1.2143501898654651e-07,0.0,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,biofMP,mp2,2.4310717612231526e-13,"[1.943122678398596e-10, 0.0, 0.0, 0.0, 0.0]",4.6435631010357335e-07,0.0,0.0,0.0,1.371165644171779e-08,2.800994300584657e-07,0.0,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,biofMP,mp3,2.4310717612231528e-11,"[4.538912937372814e-10, 4.538912937372814e-10, 0.0, 0.0, 0.0]",3.953952451720626e-05,0.0,0.0,0.0,1.371165644171779e-08,1.648369109283419e-06,0.0,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,biofMP,mp4,2.4310717612231527e-09,"[4.825491470292957e-09, 1.6084971567643192e-09, 1.6084971567643192e-09, 0.0, 0.0]",0.06405814064283756,0.0,0.0,0.0,1.371165644171779e-08,0.0,4.1566412233032596e-05,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,biofMP,mp5,2.4310717612231525e-07,"[5.557266242310434e-08, 1.1908427662093789e-08, 7.938951774729193e-09, 3.9694758873646e-09, 0.0]",886.221035906939,0.0,0.0,0.0,1.371165644171779e-08,0.0,0.006217766002584401,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,heterBiofMP,mp1,2.4310717612231526e-16,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,1.7504648317849157e-16,0.0,0.0,1.371165644171779e-08,1.8096392463162407e-07,0.0,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,heterBiofMP,mp2,2.4310717612231528e-14,"[2.069169623927708e-12, 0.0, 0.0, 0.0, 0.0]",0.0,6.049506537160827e-16,0.0,0.0,1.371165644171779e-08,3.22143301466741e-07,0.0,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,heterBiofMP,mp3,2.4310717612231525e-12,"[4.541989829336653e-12, 4.541989829336653e-12, 0.0, 0.0, 0.0]",0.0,3.988016141817296e-14,0.0,0.0,1.371165644171779e-08,1.6607158863653082e-06,0.0,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,heterBiofMP,mp4,2.4310717612231527e-10,"[4.8254961775783987e-11, 1.608498725859466e-11, 1.608498725859466e-11, 0.0, 0.0]",0.0,6.40559268044956e-11,0.0,0.0,1.371165644171779e-08,0.0,4.1564850992604276e-05,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,heterBiofMP,mp5,2.4310717612231527e-08,"[5.557266247946449e-10, 1.1908427674170962e-10, 7.938951782780642e-11, 3.9694758913903243e-11, 0.0]",0.0,8.862210148869099e-07,0.0,0.0,1.371165644171779e-08,0.0,0.006217765842225985,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Column_Water,freeMP,mp1,1.2155358806115764e-15,"[0.0, 0.0, 0.0, 0.0, 0.0]",2.246885287461167e-08,0.0,3.858024691358025e-08,0.0,0.0,0.0,1.611724190905368e-12,7.881236641221374e-12,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Column_Water,freeMP,mp2,1.2155358806115763e-13,"[1.5854895991882296e-10, 0.0, 0.0, 0.0, 0.0]",5.936118670599402e-08,0.0,3.858024691358025e-08,0.0,0.0,0.0,1.6117241909053684e-10,7.881236641221374e-12,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Column_Water,freeMP,mp3,1.2155358806115764e-11,"[7.927447995941146e-10, 7.927447995941146e-10, 0.0, 0.0, 0.0]",8.09320649027192e-06,0.0,3.858024691358025e-08,0.0,0.0,0.0,1.611724190905368e-08,7.881236641221374e-12,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Column_Water,freeMP,mp4,1.2155358806115764e-09,"[9.512937595129376e-09, 3.1709791983764586e-09, 3.1709791983764586e-09, 0.0, 0.0]",0.0477936659835263,0.0,3.858024691358025e-08,0.0,0.0,0.0,1.6117241909053677e-06,7.881236641221374e-12,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Column_Water,freeMP,mp5,1.2155358806115762e-07,"[1.1098427194317603e-07, 2.3782343987823436e-08, 1.5854895991882293e-08, 7.927447995941153e-09, 0.0]",458.08179228950456,0.0,3.858024691358025e-08,0.0,0.0,0.0,0.0001611724190905368,7.881236641221374e-12,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Column_Water,heterMP,mp1,1.2155358806115763e-16,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,1.8736386066974934e-17,3.858024691358025e-08,0.0,0.0,2.657455718187574e-09,0.0,7.881236641221374e-12,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Column_Water,heterMP,mp2,1.2155358806115764e-14,"[2.528451797958585e-12, 0.0, 0.0, 0.0, 0.0]",0.0,3.0520327648159686e-17,3.858024691358025e-08,0.0,0.0,2.3174425434049326e-09,0.0,7.881236641221374e-12,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Column_Water,heterMP,mp3,1.2155358806115762e-12,"[7.935514617141138e-12, 7.935514617141138e-12, 0.0, 0.0, 0.0]",0.0,7.959311909769156e-15,3.858024691358025e-08,0.0,0.0,0.0,1.5715560188472608e-08,7.881236641221374e-12,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Column_Water,heterMP,mp4,1.2155358806115764e-10,"[9.512947284918179e-11, 3.170982428306059e-11, 3.170982428306059e-11, 0.0, 0.0]",0.0,4.779259182418434e-11,3.858024691358025e-08,0.0,0.0,0.0,1.6116839802332037e-06,7.881236641221374e-12,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Column_Water,heterMP,mp5,1.2155358806115764e-08,"[1.1098427205622372e-09, 2.378234401204794e-10, 1.5854896008031963e-10, 7.927448004015988e-11, 0.0]",0.0,4.5808178181248177e-07,3.858024691358025e-08,0.0,0.0,0.0,0.0001611724150694655,7.881236641221374e-12,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Column_Water,biofMP,mp1,2.431071761223153e-15,"[0.0, 0.0, 0.0, 0.0, 0.0]",6.065374591193721e-08,0.0,0.0,0.0,0.0,3.035875474663663e-09,0.0,7.881236641221374e-12,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Column_Water,biofMP,mp2,2.4310717612231526e-13,"[1.943122678398596e-10, 0.0, 0.0, 0.0, 0.0]",4.6435631010357335e-07,0.0,0.0,0.0,0.0,7.002485751461642e-09,0.0,7.881236641221374e-12,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Column_Water,biofMP,mp3,2.4310717612231528e-11,"[4.538912937372814e-10, 4.538912937372814e-10, 0.0, 0.0, 0.0]",3.953952451720626e-05,0.0,0.0,0.0,0.0,4.120922773208547e-08,0.0,7.881236641221374e-12,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Column_Water,biofMP,mp4,2.4310717612231527e-09,"[4.825491470292957e-09, 1.6084971567643192e-09, 1.6084971567643192e-09, 0.0, 0.0]",0.06405814064283756,0.0,0.0,0.0,0.0,0.0,1.0391603058258148e-06,7.881236641221374e-12,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Column_Water,biofMP,mp5,2.4310717612231525e-07,"[5.557266242310434e-08, 1.1908427662093789e-08, 7.938951774729193e-09, 3.9694758873646e-09, 0.0]",886.221035906939,0.0,0.0,0.0,0.0,0.0,0.00015544415006461001,7.881236641221374e-12,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Column_Water,heterBiofMP,mp1,2.4310717612231526e-16,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,1.7504648317849157e-16,0.0,0.0,0.0,4.524098115790602e-09,0.0,7.881236641221374e-12,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Column_Water,heterBiofMP,mp2,2.4310717612231528e-14,"[2.069169623927708e-12, 0.0, 0.0, 0.0, 0.0]",0.0,6.049506537160827e-16,0.0,0.0,0.0,8.053582536668524e-09,0.0,7.881236641221374e-12,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Column_Water,heterBiofMP,mp3,2.4310717612231525e-12,"[4.541989829336653e-12, 4.541989829336653e-12, 0.0, 0.0, 0.0]",0.0,3.988016141817296e-14,0.0,0.0,0.0,4.151789715913271e-08,0.0,7.881236641221374e-12,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Column_Water,heterBiofMP,mp4,2.4310717612231527e-10,"[4.8254961775783987e-11, 1.608498725859466e-11, 1.608498725859466e-11, 0.0, 0.0]",0.0,6.40559268044956e-11,0.0,0.0,0.0,0.0,1.039121274815107e-06,7.881236641221374e-12,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Column_Water,heterBiofMP,mp5,2.4310717612231527e-08,"[5.557266247946449e-10, 1.1908427674170962e-10, 7.938951782780642e-11, 3.9694758913903243e-11, 0.0]",0.0,8.862210148869099e-07,0.0,0.0,0.0,0.0,0.00015544414605564964,7.881236641221374e-12,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Coast_Surface_Water,freeMP,mp1,1.2155358806115764e-14,"[0.0, 0.0, 0.0, 0.0, 0.0]",3.33734011340317e-07,0.0,1.1574074074074074e-06,0.0,1e-06,0.0,0.0,0.0055117734724292105,1.111111111111111e-08,3.3333333333333334e-08,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
